================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [168/5830] GLD chunk 15/530 | 4176 bars | ETA: 17h 32m 42s
  [169/5830] SPY chunk 17/530 | 4524 bars | ETA: 17h 32m 31s
  [170/5830] QQQ chunk 17/530 | 4524 bars | ETA: 17h 32m 20s
  [171/5830] AAPL chunk 17/530 | 4524 bars | ETA: 17h 32m 08s
  [172/5830] NVDA chunk 16/530 | 4506 bars | ETA: 17h 31m 56s
  [173/5830] MSFT chunk 16/530 | 4506 bars | ETA: 17h 31m 44s
  [174/5830] SMCI chunk 16/530 | 4506 bars | ETA: 17h 31m 32s
  [175/5830] IWM chunk 16/530 | 4506 bars | ETA: 17h 31m 20s
  [176/5830] HYG chunk 16/530 | 4506 bars | ETA: 17h 31m 09s
  [177/5830] LQD chunk 16/530 | 4506 bars | ETA: 17h 30m 58s
  [178/5830] TLT chunk 16/530 | 4506 bars | ETA: 17h 30m 46s
  [179/5830] GLD chunk 16/530 | 4506 bars | ETA: 17h 30m 36s
  [180/5830] SPY chunk 18/530 | 4854 bars | ETA: 17h 30m 24s
  [181/5830] QQQ chunk 18/530 | 4854 bars | ETA: 17h 30m 13s
  [182/5830] AAPL chunk 18/530 | 4854 bars | ETA: 17h 30m 01s
  [183/5830] NVDA chunk 17/530 | 4836 bars | ETA: 17h 29m 49s
  [184/5830] MSFT chunk 17/530 | 4836 bars | ETA: 17h 29m 37s
  [185/5830] SMCI chunk 17/530 | 4836 bars | ETA: 17h 29m 26s
  [186/5830] IWM chunk 17/530 | 4836 bars | ETA: 17h 29m 14s
  [187/5830] HYG chunk 17/530 | 4836 bars | ETA: 17h 29m 02s
  [188/5830] LQD chunk 17/530 | 4836 bars | ETA: 17h 28m 51s
  [189/5830] TLT chunk 17/530 | 4836 bars | ETA: 17h 28m 40s
  [190/5830] GLD chunk 17/530 | 4836 bars | ETA: 17h 28m 30s
  [191/5830] SPY chunk 19/530 | 5196 bars | ETA: 17h 28m 18s
  [192/5830] QQQ chunk 19/530 | 5196 bars | ETA: 17h 28m 06s
  [193/5830] AAPL chunk 19/530 | 5196 bars | ETA: 17h 27m 59s
  [194/5830] NVDA chunk 18/530 | 5166 bars | ETA: 17h 27m 48s
  [195/5830] MSFT chunk 18/530 | 5166 bars | ETA: 17h 27m 36s
  [196/5830] SMCI chunk 18/530 | 5166 bars | ETA: 17h 27m 25s
  [197/5830] IWM chunk 18/530 | 5166 bars | ETA: 17h 27m 13s
  [198/5830] HYG chunk 18/530 | 5166 bars | ETA: 17h 27m 03s
  [199/5830] LQD chunk 18/530 | 5166 bars | ETA: 17h 26m 52s
  [200/5830] TLT chunk 18/530 | 5166 bars | ETA: 17h 26m 42s
  [201/5830] GLD chunk 18/530 | 5166 bars | ETA: 17h 26m 31s
  [202/5830] SPY chunk 20/530 | 5538 bars | ETA: 17h 26m 19s
  [203/5830] QQQ chunk 20/530 | 5538 bars | ETA: 17h 26m 07s
  [204/5830] AAPL chunk 20/530 | 5538 bars | ETA: 17h 25m 56s
  [205/5830] NVDA chunk 19/530 | 5508 bars | ETA: 17h 25m 44s
  [206/5830] MSFT chunk 19/530 | 5508 bars | ETA: 17h 25m 33s
  [207/5830] SMCI chunk 19/530 | 5508 bars | ETA: 17h 25m 21s
  [208/5830] IWM chunk 19/530 | 5508 bars | ETA: 17h 25m 09s
  [209/5830] HYG chunk 19/530 | 5508 bars | ETA: 17h 24m 58s
  [210/5830] LQD chunk 19/530 | 5508 bars | ETA: 17h 24m 47s
  [211/5830] TLT chunk 19/530 | 5508 bars | ETA: 17h 24m 36s
  [212/5830] GLD chunk 19/530 | 5508 bars | ETA: 17h 24m 25s
  [213/5830] SPY chunk 21/530 | 5880 bars | ETA: 17h 24m 13s
  [214/5830] QQQ chunk 21/530 | 5880 bars | ETA: 17h 24m 02s
  [215/5830] AAPL chunk 21/530 | 5880 bars | ETA: 17h 23m 50s
  [216/5830] NVDA chunk 20/530 | 5850 bars | ETA: 17h 23m 38s
  [217/5830] MSFT chunk 20/530 | 5850 bars | ETA: 17h 23m 27s
  [218/5830] SMCI chunk 20/530 | 5850 bars | ETA: 17h 23m 15s
  [219/5830] IWM chunk 20/530 | 5850 bars | ETA: 17h 23m 03s
  [220/5830] HYG chunk 20/530 | 5850 bars | ETA: 17h 22m 52s
  [221/5830] LQD chunk 20/530 | 5850 bars | ETA: 17h 22m 41s
  [222/5830] TLT chunk 20/530 | 5850 bars | ETA: 17h 22m 30s
  [223/5830] GLD chunk 20/530 | 5850 bars | ETA: 17h 22m 19s
  [224/5830] SPY chunk 22/530 | 6222 bars | ETA: 17h 22m 07s
  [225/5830] QQQ chunk 22/530 | 6222 bars | ETA: 17h 21m 56s
  [226/5830] AAPL chunk 22/530 | 6222 bars | ETA: 17h 21m 44s
  [227/5830] NVDA chunk 21/530 | 6192 bars | ETA: 17h 21m 32s
  [228/5830] MSFT chunk 21/530 | 6192 bars | ETA: 17h 21m 21s
  [229/5830] SMCI chunk 21/530 | 6192 bars | ETA: 17h 21m 10s
  [230/5830] IWM chunk 21/530 | 6192 bars | ETA: 17h 20m 58s
  [231/5830] HYG chunk 21/530 | 6192 bars | ETA: 17h 20m 47s
  [232/5830] LQD chunk 21/530 | 6192 bars | ETA: 17h 20m 35s
  [233/5830] TLT chunk 21/530 | 6192 bars | ETA: 17h 20m 26s
  [234/5830] GLD chunk 21/530 | 6192 bars | ETA: 17h 20m 15s
  [235/5830] SPY chunk 23/530 | 6564 bars | ETA: 17h 20m 04s
  [236/5830] QQQ chunk 23/530 | 6564 bars | ETA: 17h 19m 52s
  [237/5830] AAPL chunk 23/530 | 6564 bars | ETA: 17h 19m 41s
  [238/5830] NVDA chunk 22/530 | 6534 bars | ETA: 17h 19m 30s
  [239/5830] MSFT chunk 22/530 | 6534 bars | ETA: 17h 19m 18s
  [240/5830] SMCI chunk 22/530 | 6534 bars | ETA: 17h 19m 06s
  [241/5830] IWM chunk 22/530 | 6534 bars | ETA: 17h 18m 55s
  [242/5830] HYG chunk 22/530 | 6534 bars | ETA: 17h 18m 43s
  [243/5830] LQD chunk 22/530 | 6534 bars | ETA: 17h 18m 33s
  [244/5830] TLT chunk 22/530 | 6534 bars | ETA: 17h 18m 22s
  [245/5830] GLD chunk 22/530 | 6534 bars | ETA: 17h 18m 11s
  [246/5830] SPY chunk 24/530 | 6906 bars | ETA: 17h 17m 59s
  [247/5830] QQQ chunk 24/530 | 6906 bars | ETA: 17h 17m 48s
  [248/5830] AAPL chunk 24/530 | 6906 bars | ETA: 17h 17m 36s
  [249/5830] NVDA chunk 23/530 | 6876 bars | ETA: 17h 17m 24s
  [250/5830] MSFT chunk 23/530 | 6876 bars | ETA: 17h 17m 13s
  [251/5830] SMCI chunk 23/530 | 6876 bars | ETA: 17h 17m 02s
  [252/5830] IWM chunk 23/530 | 6876 bars | ETA: 17h 16m 50s
  [253/5830] HYG chunk 23/530 | 6876 bars | ETA: 17h 16m 39s
  [254/5830] LQD chunk 23/530 | 6876 bars | ETA: 17h 16m 28s
  [255/5830] TLT chunk 23/530 | 6876 bars | ETA: 17h 16m 19s
  [256/5830] GLD chunk 23/530 | 6876 bars | ETA: 17h 16m 08s
  [257/5830] SPY chunk 25/530 | 7248 bars | ETA: 17h 15m 56s
  [258/5830] QQQ chunk 25/530 | 7248 bars | ETA: 17h 15m 46s
  [259/5830] AAPL chunk 25/530 | 7248 bars | ETA: 17h 15m 35s
  [260/5830] NVDA chunk 24/530 | 7218 bars | ETA: 17h 15m 23s
  [261/5830] MSFT chunk 24/530 | 7218 bars | ETA: 17h 15m 12s
  [262/5830] SMCI chunk 24/530 | 7218 bars | ETA: 17h 15m 00s
